1=1244	1188	1188	1188	1242	1188	1188	1188	1242	1188	1188	1188	1242	1188	0	1188	4428	3942	4428	3942	4428	3942	4428	3942	4428	3942	4428	3942	4428	3942	4428	3942	
8=1674	1730	1674	1674	1674	1728	1674	1674	1674	1728	1674	1674	1674	1728	0	1674	6615	5886	6615	5886	6615	5886	6615	5886	6615	5886	6615	5886	6615	5886	6615	5886	
15=1188	1188	1244	1188	1188	1188	1242	1188	1188	1188	1242	1188	1188	1188	0	1188	4428	3942	4428	3942	4428	3942	4428	3942	4428	3942	4428	3942	4428	3942	4428	3942	
22=1674	1674	1674	1730	1674	1674	1674	1728	1674	1674	1674	1728	1674	1674	0	1728	6615	5886	6615	5886	6615	5886	6615	5886	6615	5886	6615	5886	6615	5886	6615	5886	
29=1377	1296	1296	1296	1379	1296	1296	1296	1377	1296	1296	1296	1377	1296	0	1296	4455	3969	3969	4455	4455	3969	3969	4455	4455	3969	3969	4455	4455	3969	3969	4455	
36=1782	1863	1782	1782	1782	1865	1782	1782	1782	1863	1782	1782	1782	1863	0	1782	6642	5913	5913	6642	6642	5913	5913	6642	6642	5913	5913	6642	6642	5913	5913	6642	
43=1296	1296	1377	1296	1296	1296	1379	1296	1296	1296	1377	1296	1296	1296	0	1296	4455	3969	3969	4455	4455	3969	3969	4455	4455	3969	3969	4455	4455	3969	3969	4455	
50=1782	1782	1782	1863	1782	1782	1782	1865	1782	1782	1782	1863	1782	1782	0	1863	6642	5913	5913	6642	6642	5913	5913	6642	6642	5913	5913	6642	6642	5913	5913	6642	
57=1242	1188	1188	1188	1242	1188	1188	1188	1244	1188	1188	1188	1242	1188	0	1188	3942	4428	4428	3942	3942	4428	4428	3942	3942	4428	4428	3942	3942	4428	4428	3942	
64=1674	1728	1674	1674	1674	1728	1674	1674	1674	1730	1674	1674	1674	1728	0	1674	5886	6615	6615	5886	5886	6615	6615	5886	5886	6615	6615	5886	5886	6615	6615	5886	
71=1188	1188	1242	1188	1188	1188	1242	1188	1188	1188	1244	1188	1188	1188	0	1188	3942	4428	4428	3942	3942	4428	4428	3942	3942	4428	4428	3942	3942	4428	4428	3942	
78=1674	1674	1674	1728	1674	1674	1674	1728	1674	1674	1674	1730	1674	1674	0	1728	5886	6615	6615	5886	5886	6615	6615	5886	5886	6615	6615	5886	5886	6615	6615	5886	
85=1377	1296	1296	1296	1377	1296	1296	1296	1377	1296	1296	1296	1379	1296	0	1296	3969	4455	3969	4455	3969	4455	3969	4455	3969	4455	3969	4455	3969	4455	3969	4455	
92=1782	1863	1782	1782	1782	1863	1782	1782	1782	1863	1782	1782	1782	1865	0	1782	5913	6642	5913	6642	5913	6642	5913	6642	5913	6642	5913	6642	5913	6642	5913	6642	
99=1296	1296	1377	1296	1296	1296	1377	1296	1296	1296	1377	1296	1296	1296	0	1296	3969	4455	3969	4455	3969	4455	3969	4455	3969	4455	3969	4455	3969	4455	3969	4455	
106=1782	1782	1782	1863	1782	1782	1782	1863	1782	1782	1782	1863	1782	1782	0	1865	5913	6642	5913	6642	5913	6642	5913	6642	5913	6642	5913	6642	5913	6642	5913	6642	
113=4428	3942	4428	3942	4428	3942	4428	3942	4428	3942	4428	3942	4428	3942	0	3942	1244	1188	1188	1188	1242	1188	1188	1188	1242	1188	1188	1188	1242	1188	1188	1188	
120=6615	5886	6615	5886	6615	5886	6615	5886	6615	5886	6615	5886	6615	5886	0	5886	1674	1730	1674	1674	1674	1728	1674	1674	1674	1728	1674	1674	1674	1728	1674	1674	
127=4428	3942	4428	3942	4428	3942	4428	3942	4428	3942	4428	3942	4428	3942	0	3942	1188	1188	1244	1188	1188	1188	1242	1188	1188	1188	1242	1188	1188	1188	1242	1188	
134=6615	5886	6615	5886	6615	5886	6615	5886	6615	5886	6615	5886	6615	5886	0	5886	1674	1674	1674	1730	1674	1674	1674	1728	1674	1674	1674	1728	1674	1674	1674	1728	
141=4455	3969	3969	4455	4455	3969	3969	4455	4455	3969	3969	4455	4455	3969	0	4455	1377	1296	1296	1296	1379	1296	1296	1296	1377	1296	1296	1296	1377	1296	1296	1296	
148=6642	5913	5913	6642	6642	5913	5913	6642	6642	5913	5913	6642	6642	5913	0	6642	1782	1863	1782	1782	1782	1865	1782	1782	1782	1863	1782	1782	1782	1863	1782	1782	
155=4455	3969	3969	4455	4455	3969	3969	4455	4455	3969	3969	4455	4455	3969	0	4455	1296	1296	1377	1296	1296	1296	1379	1296	1296	1296	1377	1296	1296	1296	1377	1296	
162=6642	5913	5913	6642	6642	5913	5913	6642	6642	5913	5913	6642	6642	5913	0	6642	1782	1782	1782	1863	1782	1782	1782	1865	1782	1782	1782	1863	1782	1782	1782	1863	
169=3942	4428	4428	3942	3942	4428	4428	3942	3942	4428	4428	3942	3942	4428	0	3942	1242	1188	1188	1188	1242	1188	1188	1188	1244	1188	1188	1188	1242	1188	1188	1188	
176=5886	6615	6615	5886	5886	6615	6615	5886	5886	6615	6615	5886	5886	6615	0	5886	1674	1728	1674	1674	1674	1728	1674	1674	1674	1730	1674	1674	1674	1728	1674	1674	
183=3942	4428	4428	3942	3942	4428	4428	3942	3942	4428	4428	3942	3942	4428	0	3942	1188	1188	1242	1188	1188	1188	1242	1188	1188	1188	1244	1188	1188	1188	1242	1188	
190=5886	6615	6615	5886	5886	6615	6615	5886	5886	6615	6615	5886	5886	6615	0	5886	1674	1674	1674	1728	1674	1674	1674	1728	1674	1674	1674	1730	1674	1674	1674	1728	
197=3969	4455	3969	4455	3969	4455	3969	4455	3969	4455	3969	4455	3969	4455	0	4455	1377	1296	1296	1296	1377	1296	1296	1296	1377	1296	1296	1296	1379	1296	1296	1296	
204=5913	6642	5913	6642	5913	6642	5913	6642	5913	6642	5913	6642	5913	6642	0	6642	1782	1863	1782	1782	1782	1863	1782	1782	1782	1863	1782	1782	1782	1865	1782	1782	
211=3969	4455	3969	4455	3969	4455	3969	4455	3969	4455	3969	4455	3969	4455	0	4455	1296	1296	1377	1296	1296	1296	1377	1296	1296	1296	1377	1296	1296	1296	1379	1296	
218=5913	6642	5913	6642	5913	6642	5913	6642	5913	6642	5913	6642	5913	6642	0	6642	1782	1782	1782	1863	1782	1782	1782	1863	1782	1782	1782	1863	1782	1782	1782	1865	
225=135	108	108	108	135	108	108	108	135	108	108	108	135	108	0	108	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	
226=108	135	108	108	108	135	108	108	108	135	108	108	108	135	0	108	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	
227=108	108	135	108	108	108	135	108	108	108	135	108	108	108	0	108	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	
228=108	108	108	135	108	108	108	135	108	108	108	135	108	108	0	135	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	
229=27	27	27	27	27	27	27	27	27	27	27	27	27	27	0	27	135	108	108	108	135	108	108	108	135	108	108	108	135	108	108	108	
230=27	27	27	27	27	27	27	27	27	27	27	27	27	27	0	27	108	135	108	108	108	135	108	108	108	135	108	108	108	135	108	108	
231=27	27	27	27	27	27	27	27	27	27	27	27	27	27	0	27	108	108	135	108	108	108	135	108	108	108	135	108	108	108	135	108	
232=27	27	27	27	27	27	27	27	27	27	27	27	27	27	0	27	108	108	108	135	108	108	108	135	108	108	108	135	108	108	108	135	
233=567	567	567	567	567	567	567	567	567	567	567	567	567	567	0	567	567	567	567	567	567	567	567	567	567	567	567	567	567	567	567	567	
242=135	108	108	108	135	108	108	108	135	108	108	108	135	108	0	108	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	
245=108	135	108	108	108	135	108	108	108	135	108	108	108	135	0	108	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	
248=108	108	135	108	108	108	135	108	108	108	135	108	108	108	0	108	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	
251=108	108	108	135	108	108	108	135	108	108	108	135	108	108	0	135	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	
254=27	27	27	27	27	27	27	27	27	27	27	27	27	27	0	27	135	108	108	108	135	108	108	108	135	108	108	108	135	108	108	108	
257=27	27	27	27	27	27	27	27	27	27	27	27	27	27	0	27	108	135	108	108	108	135	108	108	108	135	108	108	108	135	108	108	
260=27	27	27	27	27	27	27	27	27	27	27	27	27	27	0	27	108	108	135	108	108	108	135	108	108	108	135	108	108	108	135	108	
263=27	27	27	27	27	27	27	27	27	27	27	27	27	27	0	27	108	108	108	135	108	108	108	135	108	108	108	135	108	108	108	135	
266=972	972	972	972	972	972	972	972	972	972	972	972	972	972	0	972	4374	3888	4374	3888	4374	3888	4374	3888	4374	3888	4374	3888	4374	3888	4374	3888	
269=972	972	972	972	972	972	972	972	972	972	972	972	972	972	0	972	4374	3888	4374	3888	4374	3888	4374	3888	4374	3888	4374	3888	4374	3888	4374	3888	
272=972	972	972	972	972	972	972	972	972	972	972	972	972	972	0	972	4374	3888	3888	4374	4374	3888	3888	4374	4374	3888	3888	4374	4374	3888	3888	4374	
275=972	972	972	972	972	972	972	972	972	972	972	972	972	972	0	972	4374	3888	3888	4374	4374	3888	3888	4374	4374	3888	3888	4374	4374	3888	3888	4374	
278=972	972	972	972	972	972	972	972	972	972	972	972	972	972	0	972	3888	4374	4374	3888	3888	4374	4374	3888	3888	4374	4374	3888	3888	4374	4374	3888	
281=972	972	972	972	972	972	972	972	972	972	972	972	972	972	0	972	3888	4374	4374	3888	3888	4374	4374	3888	3888	4374	4374	3888	3888	4374	4374	3888	
