1=0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5=0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9=0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	128	128	128	0	0	0	0	0	0	0	0	152	0	152	196	0	130	0	196	4	0	0	0	178	160	146	136	304	196	78	54	34	26	0	196	196	196	196	0	0	0	0	0	0	0	0	7280	20946	0	0	
12=0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	128	128	128	0	0	0	0	0	0	0	0	152	0	152	196	0	130	0	196	4	0	0	0	178	160	146	136	304	196	78	54	34	26	0	196	196	196	196	0	0	0	0	0	0	0	0	7280	20946	0	0	
15=0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
18=0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	649	1283	1283	649	122	86	58	38	270	222	182	166	976	976	976	2326	634	1046	1332	1178	730	694	666	646	1142	1106	1078	1058	2928	1178	878	830	790	774	484	1178	1178	1178	1178	580	544	516	496	728	679	640	624	62508	46610	61608	73392	
23=0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	9	9	18	4	0	0	18	18	18	18	16	0	16	18	18	18	36	18	18	18	18	18	18	18	18	18	32	18	18	18	18	18	36	18	18	18	18	36	36	36	36	36	36	36	36	108	108	216	2128	
26=0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	7	7	14	14	4	0	14	14	14	14	16	0	16	14	14	14	28	14	14	14	14	14	14	14	14	14	32	14	14	14	14	14	28	14	14	14	14	28	28	28	28	28	28	28	28	84	84	168	7760	
29=0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	5	10	10	10	4	10	10	10	10	16	0	16	10	10	10	20	10	10	10	10	10	10	10	10	10	32	10	10	10	10	10	20	10	10	10	10	20	20	20	20	20	20	20	20	60	60	120	7328	
32=0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	9	9	0	0	0	0	0	0	0	0	8	0	8	18	18	18	8	18	18	18	18	18	18	18	18	18	16	18	18	18	18	18	0	18	18	18	18	0	0	0	0	16	16	8	0	108	108	3200	0	
