1=0	0	0	0	1	1	0	0	0	0	1	1	1	1	0	0	0	41	131	91	61	99	143	215	183	159	0	0	0	0	1	1	0	0	0	0	1	1	1	1	0	0	0	41	131	91	61	99	143	215	183	159	
8=0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	9	27	19	13	24	31	57	41	35	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	9	27	19	13	24	31	57	41	35	
13=0	0	0	0	1	1	0	0	0	0	1	0	1	1	0	0	0	1	1	1	1	0	1	1	1	1	0	0	0	0	1	1	0	0	0	0	1	0	1	1	0	0	0	1	1	1	1	0	1	1	1	1	
17=0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	32	104	72	48	91	120	198	166	144	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	32	104	72	48	91	120	198	166	144	
26=0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	24	78	54	36	66	90	144	120	102	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	24	78	54	36	66	90	144	120	102	
29=1	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	8	26	18	12	22	30	48	40	34	1	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	8	26	18	12	22	30	48	40	34	
36 =0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
42=1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	25	79	55	37	66	91	145	121	103	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	25	79	55	37	66	91	145	121	103	
51=0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	32	104	72	48	92	120	200	168	136	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	32	104	72	48	92	120	200	168	136	
55=0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	9	27	19	13	22	31	49	41	35	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	9	27	19	13	22	31	49	41	35	
59=0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	25	79	55	37	66	91	145	121	103	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	25	79	55	37	66	91	145	121	103	
68=0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	0	1	1	1	1	
72=0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1	1	
73=0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1	1	
74=0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
75=1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	16	52	36	24	44	60	96	80	68	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	16	52	36	24	44	60	96	80	68	
80=0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	8	26	18	12	22	30	48	40	34	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	8	26	18	12	22	30	48	40	34	
85=0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
86=0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
87=0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
88=0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
89=0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
90=0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
91=0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	2	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	2	0	8	1	0	
96=0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	4	0	8	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	4	0	8	8	1	
101=0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	3	1	6	6	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	3	1	6	6	8	
106=0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	1	0	0	2	8	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	1	0	0	2	8	4	4	4	
111=0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	8	1	0	2	4	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	8	1	0	2	4	4	4	4	
116=0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	8	8	1	4	8	8	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	8	8	1	4	8	8	8	8	
121=0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	1	6	6	8	3	6	6	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	1	6	6	8	3	6	6	6	6	
126=0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	8	4	4	4	2	4	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	8	4	4	4	2	4	4	4	4	
130=0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	
135=0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	
138=0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	8	26	18	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	8	26	18	12	
143=0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	4	4	12	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	4	4	12	4	4	
146=0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	0	8	8	16	16	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	0	8	8	16	16	8	
149=0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	8	6	6	12	12	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	8	6	6	12	12	14	
152=0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8	4	4	4	
153=0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	4	4	4	4	12	8	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	4	4	4	4	12	8	8	8	
156=0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	52	36	24	44	60	96	80	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	52	36	24	44	60	96	80	68	
159=0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	2	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	2	0	8	0	0	
165=0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	4	0	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	4	0	8	8	0	
171=0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	3	0	6	6	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	3	0	6	6	8	
177=0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	2	8	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	2	8	4	4	4	
183=0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	8	0	0	2	4	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	8	0	0	2	4	4	4	4	
